specObjID,z,zErr,spectroSkyFlux_u,spectroSkyFlux_g,spectroSkyFlux_r,spectroSkyFlux_i,spectroSkyFlux_z
299489676975171584,0.02127545,9.121824E-06,9.833003,15.35733,37.86623,74.07731,156.5848
299489677444933632,0.02122228,9.465381E-06,8.733623,17.16875,32.73552,54.36369,122.561
299489951853078528,0.2139246,5.23439E-05,8.733313,14.05917,35.15448,68.44511,151.4134
299489952322840576,0.2037833,3.89048E-05,8.028381,16.28374,31.50127,52.52859,118.2041
299490226730985472,0.6521814,0.0001330712,8.635136,13.78473,33.30645,64.53745,137.9864
299490227200747520,0.6524171,8.855115E-05,8.126469,17.17282,32.44112,53.14016,122.3238
299490501608892416,0.1265536,6.185426E-05,8.019086,13.61473,34.82022,69.58674,139.8377
299490502078654464,0.06465632,2.0662E-05,7.946065,16.87426,32.05222,52.52457,123.0741
299490776486799360,0.4486449,0.0001679451,2.918336,9.525053,32.13695,66.69044,136.4613
299490776956561408,2.831786,0.0004929945,8.64275,16.87443,32.01777,53.30176,120.3256
299491051364706304,0.05598787,1.141557E-05,8.493332,14.24252,34.95118,69.509,142.4566
299491051834468352,0.05265425,8.614109E-06,8.561779,16.64059,31.80251,52.94244,119.0373
299491326242613248,6.344374,0.0001427493,10.02029,15.00521,34.62348,69.40776,153.5587
299491326712375296,0.2138606,4.031544E-05,6.972056,16.28646,32.47268,53.74857,121.0197
299491601120520192,0.09063296,2.65433E-05,9.644004,14.79967,36.0071,70.75711,155.9337
299491601590282240,1.705527,0.4640793,8.791771,17.2531,33.00135,54.15589,126.0029
299491875998427136,2.830591,0.0006061982,8.752907,13.74606,33.36847,66.27821,144.4253
299491876468189184,0.4482199,0.0001066882,2.206109,11.73767,30.71269,53.54757,120.3548
299492150876334080,0.08933747,3.616046E-05,9.192782,14.44372,34.992,69.20374,147.4267
299492151346096128,0.3711277,6.93721E-05,6.641184,14.72533,31.08441,53.35351,125.8942
299492425754241024,0.2037688,5.072075E-05,8.296609,13.5215,34.75055,70.0172,143.419
299492426224003072,0.1212705,2.837492E-05,8.009299,16.95573,32.26036,53.75507,124.4885
299492700632147968,0.06502353,1.094201E-05,9.676486,14.75304,34.8459,69.56271,139.8364
299492701101910016,0.05598059,9.574063E-06,8.219517,16.20997,31.34383,51.32796,117.0289
299492975510054912,0.1213164,3.150687E-05,9.226164,14.47515,35.09224,70.40829,143.0985
299492975979816960,0.09708638,2.930541E-05,8.895146,17.12485,32.4611,53.21801,121.2274
299493250857723904,0.06477907,7.535732E-06,8.60478,16.66141,31.8182,52.63948,117.5963
299493525265868800,0.06477667,8.352577E-06,9.293395,14.35595,34.15027,67.89848,151.8218
299493800143775744,0.05265867,8.914165E-06,9.482352,14.45416,34.1262,67.89252,151.276
299493800613537792,0.1265899,4.931949E-05,8.689954,16.79778,32.08547,52.74352,123.0213
299494075021682688,0.06458879,1.6454E-05,9.833115,14.86392,35.22553,69.87147,143.253
299494075491444736,0.06495924,9.294928E-06,8.732399,16.79893,31.90208,52.41304,122.7962
299494349899589632,0.3712488,8.819308E-05,6.778345,11.85193,32.01374,66.81526,148.3558
299494350369351680,0.08429205,2.641273E-05,8.368326,16.16714,30.89641,50.76543,119.8934
299494624777496576,0.08439621,2.802153E-05,6.121724,13.13233,33.13061,64.62832,132.0603
299494625247258624,0.08931196,2.806693E-05,8.128807,16.92671,32.14621,53.31907,120.4231
299494899655403520,0.09704147,3.131445E-05,9.131392,14.31462,35.55904,68.97276,146.2737
299494900125165568,0.0906017,2.594763E-05,8.129646,17.00864,32.57529,54.09784,122.0422
299495174533310464,0.7642166,0.9364372,2.774703,10.18305,32.75914,66.75603,143.2129
299495449880979456,0.09031707,2.509904E-05,8.340986,17.19784,32.71326,53.4486,126.2455
299495724289124352,0.3276411,0.0001153925,5.339256,11.65494,32.92535,66.39291,143.4221
299495724758886400,0.2156694,4.268031E-05,7.990859,16.16504,31.7667,53.07183,117.6799
299495999167031296,0.2156489,6.124351E-05,8.298133,13.7445,34.68204,66.59909,140.3836
299495999636793344,0.242001,8.928146E-05,8.754863,16.83687,32.1501,52.92976,119.5656
299496274044938240,0.2422717,8.594267E-05,8.169338,13.85426,34.34334,69.61082,149.2289
299496274514700288,0.1346802,3.115196E-05,8.77678,16.87061,32.28648,53.08747,120.4388
299496548922845184,0.1348305,4.281947E-05,9.605947,14.71661,34.94078,68.90993,142.8409
299496823800752128,0.1314682,3.614242E-05,9.569036,14.69594,35.89474,69.48696,156.8494
299497099148421120,0.2040574,3.867013E-05,8.892353,16.95664,32.33619,53.41351,123.2811
299497374026328064,6.695688,4.618327,8.914582,17.09427,32.68241,53.75243,122.3677
299497648904235008,0.1336352,3.373426E-05,8.103571,16.74476,32.02774,52.47528,119.3156
299498473068193792,0.04809635,1.077495E-05,9.672358,14.91699,37.23196,72.07608,157.4288
299498473537955840,0.08419658,2.464909E-05,9.043526,17.16665,32.6567,54.0541,120.9036
299498748415862784,0.3275724,8.634971E-05,7.37657,14.98505,30.27291,51.76746,119.4411
299499022824007680,0.08410355,3.356231E-05,9.652058,14.79591,35.76128,70.09743,145.6149
299499023293769728,0.1314801,4.511572E-05,7.018177,15.39575,31.04665,51.78735,121.5139
299499297701914624,0.09024068,2.483852E-05,9.81247,14.79826,35.68253,68.79035,138.4672
299499298171676672,0.04808582,1.016774E-05,8.44813,17.25278,32.88806,54.39406,126.6622
299499572579821568,0.2042369,4.758228E-05,9.59177,14.6779,34.7631,69.22118,148.9121
299499847457728512,1.08138,4.638553E-05,9.923553,14.75356,34.02824,67.93282,143.8443
299500122335635456,0.1337304,3.709277E-05,9.598256,14.65686,34.57517,68.75132,144.5392
299500122805397504,0.3829364,0.0001026071,7.136763,14.91951,30.91326,52.75227,121.6196
299500397213542400,0.3834088,0.0001571399,3.233136,10.13019,31.91029,64.64225,143.6992
299500397683304448,0.1232099,5.75276E-05,6.908374,14.95286,30.26697,51.26383,120.1108
299500672561211392,0.06518305,8.58005E-06,8.557653,16.49882,31.86651,52.78167,120.8349
299500946969356288,2.29797,1.580397,8.017314,8.330427,13.8886,35.99635,100.5085
299500947439118336,0.09755617,1.745438E-05,8.805544,16.91308,32.69577,54.3563,123.3705
299501221847263232,0.09757023,1.802148E-05,10.0032,15.06638,35.48243,69.83866,149.3862
299501496725170176,0.06075863,1.540098E-05,9.89739,14.99609,36.0857,69.87891,138.4611
299501497194932224,0.1548131,7.652434E-06,8.713318,16.67163,32.10118,53.36804,123.9556
299501772072839168,0.1274091,2.080412E-05,8.214233,16.75417,32.22083,59.16853,120.3693
299502046480984064,0.1548876,1.534845E-05,9.987157,15.06493,34.97139,63.2856,141.9248
299502321828653056,0.1404723,2.619556E-05,8.783332,16.89977,32.66838,53.86766,149.0068
299502596236797952,0.1403996,2.865787E-05,9.605339,14.74638,35.82858,69.11142,126.0619
299502596706560000,2.282788,0.0006182379,7.028697,13.4008,26.28197,43.72015,100.179
299502871114704896,0.06522541,9.555966E-06,9.740435,14.84572,34.93594,68.62066,147.9252
299503145992611840,3.036635,0.0003687668,9.702242,14.78641,34.36481,68.01678,145.4287
299503146462373888,0.08926281,2.055173E-05,8.230483,16.94852,32.83478,54.74977,124.1327
299503421340280832,0.06490172,3.932979E-06,8.167651,16.63252,31.91852,52.89987,120.1016
299503695748425728,1.473754,0.0004420215,9.657128,14.68311,34.20719,66.51374,137.4599
299503696218187776,0.2058383,3.639716E-05,8.516993,16.4627,32.07339,53.67961,125.8447
299503970626332672,0.08930188,1.936802E-05,9.842937,15.12705,35.69365,69.40536,143.3152
299503971096094720,3.035727,0.0003625294,8.853803,16.93221,32.72638,53.8148,121.6788
299504245504239616,0.06492077,4.345469E-06,9.590655,14.88046,35.54154,71.07606,143.0169
299504245974001664,0.1146793,8.012174E-06,8.910957,16.81238,32.12431,53.03535,119.9761
299504520382146560,0.1275079,2.269116E-05,9.595022,14.80527,35.00006,68.5854,140.8717
299504520851908608,0.0606144,1.374815E-05,8.879891,16.77265,32.27383,54.04264,121.3846
299504795260053504,0.2059107,4.176499E-05,9.409426,14.61703,35.54138,68.8588,151.6021
299505070137960448,0.3709125,0.0001510399,5.45899,11.42915,31.44038,63.45712,139.6647
299505345015867392,1.186942,0.0002047478,9.786891,14.7811,34.14701,68.08516,144.321
299505345485629440,1.473592,0.0004523236,9.011589,16.82685,32.08457,53.00888,121.9022
299505619893774336,0.2711041,6.388986E-05,8.425412,13.90491,34.12809,67.16276,142.3885
299505620363536384,0.371149,0.0001059631,5.975806,13.35127,29.3478,51.98473,126.7566
299505894771681280,0.1146981,7.54594E-06,9.423836,14.69875,35.57176,67.67147,142.0844
299505895241443328,0.2711954,5.39502E-05,8.763521,16.55595,31.9525,53.37928,119.9632
299506169649588224,0.1315531,6.577196E-05,8.819183,14.24722,34.26841,68.97676,140.7671
299506170119350272,0.1246121,3.362826E-05,8.483046,16.90878,32.18667,53.17184,118.066
299506444527495168,0.06515202,8.010139E-06,9.169724,14.45399,34.58209,68.97676,141.7821
299506444997257216,0.05654794,1.527598E-05,8.568137,17.01089,32.22725,52.97823,117.6759
299506719405402112,0.05661002,1.299335E-05,6.494189,13.57317,33.45966,65.30613,127.3675
299506719875164160,0.454208,0.0001922903,5.175296,13.34567,29.91407,51.92007,121.6424
299506994283309056,0.1307285,3.672163E-05,8.104547,14.25255,34.30469,68.04481,139.3194
299507269630978048,0.08326827,2.085382E-05,8.584044,16.15159,30.92933,51.42513,116.5231
299507544508884992,0.06510994,8.322726E-06,8.691419,16.49454,31.74354,52.53772,120.6119
299507818917029888,0.08395144,1.497778E-05,8.469838,13.80295,34.03045,68.47615,151.626
299507819386791936,0.05656198,1.513238E-05,7.477014,15.67122,30.55508,50.0911,116.4114
299508093794936832,2.707267,0.0007678184,9.435497,14.64221,34.01146,68.41437,142.7069
299508094264698880,0.4432886,0.0003213246,8.583326,17.06985,32.68744,53.31574,125.5826
299508368672843776,0.05657594,2.202281E-05,9.098601,14.50903,35.80859,69.56067,147.0419
299508369142605824,0.08389291,1.293384E-05,8.517124,16.79332,31.83668,51.70927,117.0693
299508643550750720,0.08362591,2.049597E-05,8.978454,14.43323,34.97263,70.03859,150.1947
299508644020512768,0.08376556,1.404711E-05,9.017099,16.80559,32.03222,52.77003,117.7673
299508918428657664,0.1245161,4.525124E-05,8.997927,14.433,34.57603,68.2383,140.5899
299508918898419712,0.1253916,9.706347E-06,9.113501,16.88597,32.27052,52.74272,119.9415
299509193306564608,0.02200466,7.514084E-06,8.864356,14.19087,33.73927,66.85514,140.3377
299509193776326656,0.02196459,6.059415E-06,8.795257,16.39034,31.25358,51.84865,117.4939
299509468184471552,0.06211357,2.217398E-05,9.120148,14.57482,35.9793,69.28076,143.2407
299509468654233600,0.1249016,2.096762E-05,8.5811,16.24771,31.64452,52.95194,119.5469
299509743062378496,1.771911,0.001702371,8.904238,14.31466,34.04064,65.69867,138.1256
299509743532140544,0.1314198,4.738492E-05,8.303466,16.43796,31.42817,51.66522,118.318
299510017940285440,0.0624477,5.385879E-05,4.653735,11.53827,33.26586,66.91292,145.2049
299510018410047488,0.1308193,2.707374E-05,7.9328,16.02965,31.49707,52.48935,122.8323
299510292818192384,0.3707639,0.0001444849,5.343229,11.56215,31.96136,64.83619,141.7785
299510293287954432,0.370904,0.0001274981,8.724496,16.20442,31.0453,50.92141,119.1854
299510567696099328,0.08316904,2.032202E-05,8.116166,13.75979,33.69334,67.22659,142.2258
299510568165861376,0.1260304,3.099657E-05,9.052995,16.75487,31.8544,52.55955,118.4752
299510842574006272,0.1254254,1.071712E-05,8.681099,14.35647,35.01881,67.65426,143.5983
299510843043768320,0.06244991,4.6045E-05,8.46356,15.73491,30.02055,49.63109,112.4338
299511117451913216,0.1249238,2.147736E-05,8.208306,14.27996,34.60602,69.04443,146.4036
299511117921675264,0.06215091,1.826503E-05,9.200648,16.96031,32.1651,52.78746,118.8339
299511392329820160,0.1260151,4.12756E-05,8.448251,14.01551,34.75762,68.50027,142.2845
299511392799582208,1.772007,0.000920172,9.19393,16.87349,31.75611,52.05533,117.7129
299511667207727104,0.06738941,5.418293E-06,9.304536,14.85738,35.09966,68.20821,139.9702
299511667677489152,0.127676,1.086708E-05,8.452631,16.78823,32.32141,53.1998,120.9208
299511942085634048,0.3506854,9.108459E-05,7.536721,13.61213,34.80949,68.55708,139.3531
299512216963540992,0.1143732,3.888455E-05,9.156875,14.6708,35.41574,67.924,139.5003
299512217433303040,0.06758517,1.316565E-05,8.581536,16.91264,32.3604,53.64072,123.3517
299512492311209984,0.06589106,2.284753E-05,8.98068,16.91214,32.86437,54.33739,126.2685
299512766719354880,0.3002608,9.312371E-06,8.558885,13.63894,32.35181,63.4144,130.5802
299512767189116928,0.114409,3.475368E-05,8.391059,16.35179,32.34988,53.80501,121.3827
299513042067023872,0.1407275,3.332166E-05,9.177933,16.98806,32.5291,53.76566,121.7175
299513316944930816,0.06741422,5.355525E-06,9.14847,17.04875,32.75195,53.95319,122.4689
299513591353075712,2.287935,0.0003226082,9.174631,14.58084,34.92653,66.33595,141.5627
299513591822837760,1.226185,0.0001005881,9.294728,17.16838,32.90303,54.05571,122.9287
299513866700744704,0.3507902,8.248531E-05,8.379098,16.21076,32.27633,53.62715,123.7231
299514141108889600,0.06592802,2.567205E-05,8.928518,14.60586,34.98632,67.91725,145.9629
299514141578651648,0.2038225,3.190344E-05,8.595292,16.76416,32.15131,52.82873,119.4194
299514415986796544,0.3742266,9.278189E-05,7.115179,13.186,33.65475,66.99581,139.4359
299514416456558592,0.3740553,8.602985E-05,7.821584,15.88318,31.8973,54.12164,127.3372
299514690864703488,0.06762055,1.4237E-05,9.319782,14.99647,35.99774,70.05489,148.3145
299514691334465536,2.286935,0.0002970861,8.733911,17.01502,32.54287,53.78685,121.7245
299514965742610432,0.8860358,0.003812716,9.246461,14.64803,34.02961,67.57559,138.8281
299514966212372480,0.3002294,8.640142E-06,8.777781,16.26035,31.42561,52.36148,121.2797
299515240620517376,0.127658,1.117068E-05,8.996667,14.60687,35.26808,67.84193,137.9175
299515241090279424,0.06727324,2.264598E-05,9.17288,16.87947,32.32848,53.10526,121.1313
299515515498424320,0.06730081,2.74638E-05,9.240645,14.91333,35.38214,67.89642,140.4738
299515790846093312,0.384653,0.0001139746,7.393126,15.01187,31.43657,53.32094,124.5578
299516065254238208,0.2038819,4.146186E-05,8.923108,14.51371,34.51605,67.44125,139.8029
299516065724000256,0.2038409,3.495571E-05,8.682858,16.85566,32.40073,53.73018,119.5465
299516340132145152,0.1408175,3.40574E-05,9.010077,14.64392,34.63112,67.66641,147.0864
299516615010052096,0.3845786,0.0001174814,5.74597,11.92871,31.9776,62.31166,141.4148
299516889887959040,0.2038898,3.32915E-05,8.953297,14.55746,35.46614,68.06886,145.9054
299517165235628032,0.793506,0.0006353047,2.240448,11.85538,30.21175,52.36473,124.4304
299517439643772928,0.4352633,0.0001907857,9.054462,14.50173,33.71709,66.84858,138.1713
299517440113534976,0.1264097,3.576556E-05,8.861073,16.25995,31.28451,50.85102,117.029
299517714521679872,0.1315158,1.13792E-05,8.284376,14.00284,33.85938,65.68118,136.5985
299517714991441920,0.0456523,1.621298E-05,8.856604,16.2831,31.42435,52.19671,117.0854
299517989399586816,0.1215755,1.001506E-05,8.454388,14.15506,34.39817,68.44072,141.8985
299517989869348864,0.1315038,1.174256E-05,8.92273,16.31469,31.32527,51.83227,115.0329
299518264277493760,0.03580908,5.42274E-06,8.821861,14.6084,35.98935,68.51394,140.0622
299518539155400704,0.08925618,1.686206E-05,8.419889,14.22511,35.40247,68.31728,160.3837
299518539625162752,0.0893447,1.397131E-05,8.596427,16.60488,31.95943,52.50559,119.546
299518814033307648,0.1231486,1.391155E-05,8.87094,14.62459,34.95576,68.03607,139.6981
299518814503069696,0.1231987,1.395017E-05,8.71877,16.71239,31.91757,51.68359,118.21
299519088911214592,0.4593371,0.0002771825,3.83075,9.98835,30.13503,62.35804,136.4203
299519089380976640,0.03580831,5.25862E-06,8.450723,16.34606,31.48483,51.72637,121.0273
299519363789121536,0.1304814,3.640692E-05,8.738995,14.46249,34.8375,69.28875,142.0412
299519364258883584,0.1209667,2.551166E-05,8.780299,16.76307,32.02036,51.69237,122.109
299519638667028480,0.1263672,4.296774E-05,8.284255,14.04344,33.87268,67.43278,141.7816
299519639136790528,0.1302495,2.532451E-05,8.811477,16.75803,31.99435,52.41803,122.7351
299519913544935424,0.1321608,4.076136E-05,8.718476,14.46474,35.56277,69.14529,145.739
299519914014697472,0.1215208,8.370138E-06,8.428453,16.2555,31.47714,52.43318,123.4122
299520188422842368,0.05670393,2.808171E-05,8.557229,14.32098,35.64862,69.93708,151.1352
299520188892604416,0.1258571,3.722625E-05,8.701682,16.71335,32.03659,52.94659,119.7175
299520463300749312,0.1302733,3.587894E-05,8.731445,14.40314,34.39124,67.33612,145.9433
299520463770511360,0.09212417,1.128517E-05,9.024061,16.36408,31.50668,52.1086,117.1234
299520738178656256,0.06940611,3.214699E-05,7.850873,13.9957,33.9916,67.36768,140.3845
299520738648418304,0.1206172,1.173804E-05,9.203172,16.6287,31.81631,52.27032,117.339
299521013056563200,0.130267,5.094246E-05,8.48972,14.22984,33.91811,66.7108,137.5839
299521013526325248,0.05665967,2.209735E-05,9.372999,16.91781,32.22783,52.4707,118.7274
299521287934470144,0.04567251,1.540151E-05,7.605782,13.89138,33.67777,66.19993,136.2363
299521288404232192,0.1302224,3.737113E-05,9.238293,16.6293,31.65336,51.00488,115.9155
299521562812377088,0.1210181,2.80623E-05,8.706413,14.54851,35.01373,70.32523,141.7028
299521563282139136,0.1321261,3.163564E-05,9.310542,16.79926,32.12454,51.94447,118.2839
299521837690284032,0.1259264,4.757422E-05,8.253736,14.1128,34.87643,68.05769,138.0374
299522112568190976,0.1206084,1.278118E-05,8.213388,14.11356,34.40976,67.07776,136.6332
299522113037953024,0.130504,3.387846E-05,9.178132,16.63747,32.1012,52.98136,121.1206
299522387446097920,0.09213265,1.299835E-05,8.200845,14.17183,34.4603,67.20345,137.3052
299522387915859968,0.06934141,2.217244E-05,8.871611,16.2563,31.68733,52.72037,123.0899
299522662324004864,0.2046449,4.113039E-05,8.617388,14.52889,35.63163,68.50245,138.7341
299522662793766912,0.2900426,5.274088E-05,8.797874,16.59477,32.97467,54.48086,126.0178
299522937201911808,0.06252577,7.742439E-06,9.027337,14.92551,35.68331,69.45438,141.672
299522937671673856,0.141718,3.536678E-05,9.298852,17.00927,32.94138,54.8101,128.5083
299523212079818752,0.2713686,4.677682E-05,8.820922,14.51036,34.39448,67.23216,144.068
299523212549580800,0.1457377,4.051249E-05,9.277638,16.95965,32.9852,54.35143,123.7266
299523486957725696,0.5175179,0.000143586,9.0587,14.81132,34.61193,66.6235,140.9056
299523487427487744,2.377915,0.0002303088,9.448307,17.20252,33.312,54.67766,124.6894
299523762305394688,0.2712803,4.689833E-05,9.244678,16.85129,32.63469,53.44118,122.1819
299524036713539584,0.2899815,8.193799E-05,8.061115,14.05664,34.61871,67.41099,143.3189
299524037183301632,0.5176755,0.0001592146,8.846974,16.91858,32.78405,53.72928,121.4901
299524311591446528,0.1417113,3.766844E-05,8.830338,14.70922,35.07359,67.74617,143.0394
299524312061208576,0.7876208,0.0002878694,9.024796,17.16055,33.02498,54.07538,122.5771
299524586469353472,0.1449594,3.519077E-05,8.883168,14.67097,35.01849,67.67099,146.3558
299524586939115520,0.06248942,8.072848E-06,8.771665,16.73834,32.5791,53.85675,120.7588
299524861347260416,0.1457813,4.848721E-05,8.878349,14.6824,35.62391,68.07358,150.2443
299524861817022464,0.2045784,3.956625E-05,8.369345,16.47622,32.56117,53.96705,121.2341
299525411103074304,2.377714,0.0002493862,9.00157,14.65474,34.45275,68.49194,138.7033
299525411572836352,0.142703,1.891574E-05,8.591972,16.47419,32.10727,52.99185,119.469
299525685980981248,0.142683,2.002277E-05,8.740658,14.55396,34.36143,68.36248,137.5127
299525686450743296,0.153699,2.468936E-05,8.61898,16.79644,32.8996,54.41418,122.7643
299525960858888192,0.3674046,0.0001205401,8.713654,14.26581,33.28764,65.98456,132.6756
299525961328650240,0.367843,0.0001145508,8.868982,16.81158,32.47135,53.48996,120.471
299526235736795136,0.3679494,0.0001422695,5.606691,12.05521,32.60315,65.74698,136.078
299526236206557184,0.3692567,0.0001193694,6.701673,14.4897,31.19082,53.31248,127.5485
299526510614702080,0.06773794,2.368174E-05,8.744836,14.5979,34.41972,67.71049,141.1781
299526511084464128,0.1448017,2.946348E-05,8.662132,16.68939,32.78708,53.97284,127.5925
299526785492609024,0.07163119,1.689753E-05,8.8873,14.69757,34.64635,67.98957,141.8522
299526785962371072,0.3680652,0.0001106925,6.850179,14.5125,30.91051,52.5197,126.7608
299527060370515968,0.1536002,2.356424E-05,8.890423,14.71405,35.19316,69.11468,143.8783
299527060840278016,0.06770252,2.128274E-05,8.513465,16.34976,32.21885,53.20422,122.6007
299527335248422912,0.3689286,0.0001189513,2.747064,10.00079,32.62948,64.49882,123.9055
299527335718184960,0.07158983,1.824641E-05,8.609259,16.42985,32.18274,52.29127,119.3199
299527610596091904,0.335078,9.275007E-05,6.979781,14.64673,31.08599,52.73559,121.3574
299527885004236800,0.3350124,0.0001101478,4.898092,11.38308,32.51493,63.5397,136.8192
299528159882143744,0.03074224,1.322942E-05,8.755832,14.6266,35.25905,69.11188,151.2092
299528160351905792,0.05290708,3.537249E-05,8.497973,16.28387,31.92593,52.07866,117.848
299528434760050688,0.06240942,5.996599E-05,8.241546,14.04075,33.82322,67.12134,148.9682
299528435229812736,0.05260282,1.428546E-05,8.592725,16.31507,31.77328,51.62453,117.0207
299528710107719680,0.06251308,1.647867E-05,8.921695,16.71811,32.13363,51.90333,117.6033
299528984515864576,0.02171789,4.268482E-06,8.504623,14.11337,33.35194,66.78189,136.5202
299528984985626624,0.03073909,1.349196E-05,8.943387,16.77431,32.36204,52.74276,118.3635
299529259393771520,0.06750636,1.464152E-05,8.437265,14.28747,33.83459,67.06379,136.6614
299529259863533568,0.3661692,0.0001474819,6.10474,13.57299,29.63502,50.8367,117.4373
299529534741440512,0.05217639,5.765479E-06,8.937972,16.70654,32.04097,52.087,117.5507
299529809149585408,0.0522889,4.593592E-06,8.707754,14.63413,35.17314,69.09702,139.6141
299529809619347456,0.03070351,1.414706E-05,8.789933,16.548,31.9615,52.03615,117.447
299530084027492352,0.06226088,3.321186E-05,8.60845,14.34661,34.88254,66.34303,137.5737
299530084497254400,0.06240187,4.053693E-05,8.950469,16.68871,31.98638,51.89315,120.777
299530358905399296,0.05255049,1.751922E-05,8.578304,14.28972,34.79543,67.07042,137.2853
299530633783306240,0.05302386,4.203282E-05,8.561046,14.27959,35.23602,69.05083,136.9508
299530908661213184,0.02174484,4.84361E-06,8.724037,14.71882,36.27012,68.53312,142.3927
299530909130975232,0.05248393,5.880207E-06,8.939368,16.69797,32.2123,52.02248,122.5937
299531183539120128,0.365933,0.0001454224,2.18374,9.613991,31.62984,64.37344,137.7627
299531184008882176,0.4410215,0.0001070173,7.208398,14.37124,30.64302,52.12634,121.0683
299531458417027072,0.03076891,1.595684E-05,8.453838,14.48932,36.00741,69.41225,147.6223
299531733294934016,0.06250914,1.826518E-05,8.605391,14.60557,36.15833,69.79614,148.7494
299531733764696064,0.05354775,5.423991E-06,8.895452,16.56995,31.82175,51.89702,116.7758
299532008172840960,0.0524687,7.353248E-06,8.725147,14.51567,34.93034,67.67766,145.3365
299532008642603008,0.02170876,5.207488E-06,8.792186,16.30475,31.31841,50.69919,114.7103
299532283050747904,0.03645882,1.003053E-05,8.38062,14.03859,33.7367,65.29022,139.0472
299532283520509952,0.067523,1.09121E-05,8.629077,16.12528,31.24096,51.20002,115.6973
299532557928654848,0.5805135,0.0001307233,3.394239,5.984767,17.25234,34.41619,80.13165
299532558398416896,0.021758,4.883307E-06,8.805363,16.46901,31.79012,52.13605,116.7202
299532832806561792,0.4418353,0.0001453212,3.440994,11.60893,33.88338,65.28926,135.5583
299532833276323840,0.03645184,1.055042E-05,8.926477,15.9648,30.8443,50.65849,113.7977
299533107684468736,0.0536029,6.669304E-06,8.288758,14.06683,34.06629,66.72682,136.2516
299533108154230784,0.1284871,4.481595E-05,9.039518,16.73128,31.99815,52.03711,117.4345
299533382562375680,0.1285717,5.545056E-05,8.342213,14.14518,33.91269,67.60764,144.1799
299533383032137728,0.06228172,3.429993E-05,9.271267,16.56903,32.01807,52.21479,117.7747
299533657440282624,0.1254174,2.460833E-05,8.177406,13.92766,33.54411,66.28651,146.6309
299533657910044672,0.3253868,4.748808E-05,9.023252,16.70374,32.06355,51.90637,122.0603
299533932318189568,0.06331611,1.220545E-05,8.721612,14.65785,35.69461,71.15227,151.1404
299533932787951616,0.03673035,1.177751E-05,8.957813,16.70611,32.20613,52.59885,124.3186
299534207196096512,0.0631806,2.414144E-05,8.549776,14.4677,35.02295,69.67152,146.609
299534207665858560,0.2719066,5.818523E-05,9.205009,16.40252,31.77154,51.68781,122.0705
299534482074003456,0.1240477,4.67977E-05,8.530489,14.21369,33.78077,67.34637,137.5366
299534482543765504,0.6089833,0.5240986,9.554461,17.00828,32.80188,53.91839,126.5
299534756951910400,0.3254063,5.2978E-05,8.487188,14.14143,33.37421,65.96804,133.7438
299534757421672448,0.08990419,2.408372E-05,9.434092,16.76368,32.2763,52.61949,118.4411
299535031829817344,0.02158549,1.018997E-05,8.818464,14.87211,36.73277,71.79873,143.5639
299535032299579392,0.06296081,1.854303E-05,9.4246,16.70591,32.17058,52.46586,118.1393
299535306707724288,0.1062286,0.9595447,8.861085,14.3511,33.36235,66.56853,136.69
299535307177486336,0.09139155,2.956801E-05,9.417455,16.73301,32.1625,52.4739,118.9417
299535581585631232,0.03674017,1.274516E-05,8.714828,14.65634,35.94025,70.32256,141.0705
299535582055393280,0.06740563,1.47889E-05,9.290283,16.49418,31.88501,52.42587,117.8404
299535856463538176,0.06307655,1.987646E-05,8.73668,14.5338,35.15088,68.29478,138.6041
299535856933300224,0.06335986,1.182561E-05,9.519601,16.82206,32.41301,52.49126,119.0964
299536131341445120,0.1262772,1.255525E-05,8.268771,14.11095,34.01717,66.29748,135.3964
299536131811207168,0.3691974,0.0001224426,6.980502,13.91854,29.82044,50.72471,117.1182
299536406219352064,0.09138892,3.024088E-05,8.647077,14.38991,35.72902,68.19058,136.0963
299536406689114112,0.09155686,2.987516E-05,9.147594,16.60482,32.4152,52.51699,116.3679
299536681097259008,0.2719286,6.294102E-05,7.350795,13.28123,33.37159,65.60564,134.9106
299536681567021056,0.0215799,1.160553E-05,9.105273,16.30418,31.81397,52.09053,117.4247
299536955975165952,0.02157441,1.150823E-05,8.558874,14.27975,35.1081,66.66653,141.3061
299537230853072896,0.09150308,3.683499E-05,8.429911,14.19429,31.74688,67.31261,142.8115
299537231322834944,0.02160817,1.034798E-05,9.035867,16.64058,35.05198,51.14172,116.9705
299537505730979840,0.08999165,2.540533E-05,8.575052,14.32151,35.27053,30.716,140.6127
299537506200741888,0.1255432,2.587638E-05,8.502615,16.17218,31.98901,34.00032,90.54559
299537780608886784,0.06293288,2.186951E-05,8.482802,14.39589,36.39936,68.42437,196.2077
299537781078648832,0.1254106,4.468287E-05,8.967511,16.60879,32.15755,52.69948,117.9329
299538055486793728,0.1254095,4.29851E-05,8.312042,14.15034,34.63907,66.09766,139.575
299538055956555776,0.0632066,2.13949E-05,9.202153,16.9188,32.42917,52.69827,119.0715
299538330834462720,0.1240625,3.856888E-05,9.364921,16.62855,32.1943,52.65402,119.2232
299538605242607616,0.3693364,0.0002491936,5.877633,11.60629,32.20461,63.78156,138.632
299538605712369664,0.1261984,1.101318E-05,9.324775,16.51554,31.92092,52.22716,121.9823
299538880120514560,0.06737973,1.543637E-05,8.722401,14.47139,34.89883,67.95985,149.4249
